Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
Run Fatboy Run,2007,PG-13,28 Mar 2008,100 min,"Comedy, Romance, Sport",David Schwimmer,"Michael Ian Black, Simon Pegg","Simon Pegg, Thandiwe Newton, Hank Azaria","Five years after jilting his pregnant fiancée on their wedding day, out-of-shape Dennis decides to run a marathon to win her back.",English,"United Kingdom, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BMTgzOTg0NTk5NF5BMl5BanBnXkFtZTcwMjMxNDI2MQ@@._V1_SX300.jpg,48,6.5,"70,630",tt0425413,movie,N/A,"$6,003,262",N/A,N/A,True,6.5/10,46%,48/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Flawless,1999,R,24 Nov 1999,112 min,"Crime, Drama",Joel Schumacher,Joel Schumacher,"Robert De Niro, Philip Seymour Hoffman, Barry Miller",An ultraconservative security guard suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons with the drag queen next door.,English,United States,3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNGRlMmQyNDMtMWQxOC00MTgyLTkyZWMtZjNiZjdhYTgzMmM0XkEyXkFqcGc@._V1_SX300.jpg,50,6.4,"20,695",tt0155711,movie,N/A,"$4,488,529",N/A,N/A,True,6.4/10,40%,50/100,,,,
Superhero Movie,2008,PG-13,28 Mar 2008,75 min,"Action, Comedy, Sci-Fi",Craig Mazin,Craig Mazin,"Drake Bell, Leslie Nielsen, Sara Paxton","Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BMTc0Njc1MTU5Nl5BMl5BanBnXkFtZTcwMjA4NDE2MQ@@._V1_SX300.jpg,33,4.7,"81,467",tt0426592,movie,N/A,"$25,881,068",N/A,N/A,True,4.7/10,17%,33/100,,,,
21,2022,N/A,14 May 2022,8 min,"Short, Comedy",Leia Everett,Leia Everett,"Kylie Balentine, Precious Ugbodu, Raven Everett","On her 21st birthday, Sasha sets out to buy alcohol because ""that's what you do when you turn 21"", but runs into unexpected issues securing the bag and coming to terms with the expectations she had for her 21-year-old self.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzQ3YmQ5YzQtNmY2Ni00MjQxLThiN2YtN2I2Y2MwNzY3ZTk2XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt18938228,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Flawless,2007,PG-13,28 Mar 2008,108 min,"Crime, Drama, Thriller",Michael Radford,Edward Anderson,"Demi Moore, Michael Caine, Lambert Wilson","In 1960s London, an elderly janitor convinces a glass-ceiling constrained executive to help him steal a handful of diamonds from their employer, the London Diamond Corporation.",English,"United Kingdom, Luxembourg",1 win total,https://m.media-amazon.com/images/M/MV5BMjA1NTQ2NDU5MF5BMl5BanBnXkFtZTcwODI1MzI2MQ@@._V1_SX300.jpg,57,6.7,"27,476",tt0780516,movie,N/A,"$1,200,234",N/A,N/A,True,6.7/10,56%,57/100,,,,
Stop-Loss,2008,R,28 Mar 2008,112 min,"Drama, War",Kimberly Peirce,"Mark Richard, Kimberly Peirce","Ryan Phillippe, Abbie Cornish, Joseph Gordon-Levitt","A veteran soldier returns from his completed tour of duty in Iraq, only to find his life turned upside down when he is arbitrarily ordered to return to field duty by the Army.",English,United States,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjAyNTI1NDg1MV5BMl5BanBnXkFtZTcwNzE2NTg1MQ@@._V1_SX300.jpg,61,6.4,"21,140",tt0489281,movie,N/A,"$10,915,744",N/A,N/A,True,6.4/10,64%,61/100,,,,
21,2008,PG-13,28 Mar 2008,123 min,"Crime, Drama, Thriller",Robert Luketic,"Peter Steinfeld, Allan Loeb, Ben Mezrich","Jim Sturgess, Kate Bosworth, Kevin Spacey","Inspired by real events and people, 21 is about six MIT students who become trained to be experts in card counting in blackjack and subsequently took Vegas casinos for millions in winnings.",English,United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX300.jpg,48,6.8,"277,624",tt0478087,movie,N/A,"$81,159,365",N/A,N/A,True,6.8/10,36%,48/100,,,,
Shutter,2008,PG-13,21 Mar 2008,85 min,"Horror, Mystery, Thriller",Masayuki Ochiai,"Luke Dawson, Parkpoom Wongpoom, Sophon Sakdaphisit","Joshua Jackson, Rachael Taylor, James Kyson","A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.","English, Japanese","Thailand, Japan, United States",N/A,https://m.media-amazon.com/images/M/MV5BMTU1NDAwMDMyNl5BMl5BanBnXkFtZTcwNzU3NTg1MQ@@._V1_SX300.jpg,37,5.2,"38,959",tt0482599,movie,N/A,"$25,928,550",N/A,N/A,True,5.2/10,11%,37/100,,,,
Meet the Browns,2008,PG-13,21 Mar 2008,100 min,"Comedy, Drama, Romance",Tyler Perry,Tyler Perry,"Tamela J. Mann, Angela Bassett, Tyler Perry","A single mom takes her family to Georgia for the funeral of her father--a man she never met--and she and her clan meet the crass, fun-loving Brown family.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BMTIyNTgyMjgxMF5BMl5BanBnXkFtZTcwMjc3NzI2MQ@@._V1_SX300.jpg,45,4.5,"7,482",tt1047494,movie,N/A,"$41,975,388",N/A,N/A,True,4.5/10,33%,45/100,,,,
Shutter,2015,N/A,N/A,5 min,"Short, Horror, Sci-Fi",Ryan Kjolberg,"Ryan Kjolberg, Michael Muchnij",Chris Roberts,A man comes to the chilling realization that he is not alone when he finds odd images of himself taken from inside his home.,English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BN2QyOThhNmUtNTc5ZS00ZGExLThhMDUtMGFlNjZhNWNkZjhiXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.5,82,tt5011994,movie,N/A,N/A,N/A,N/A,True,5.5/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Drillbit Taylor,2008,PG-13,21 Mar 2008,110 min,"Action, Comedy, Crime",Steven Brill,"Kristofor Brown, Seth Rogen, John Hughes","Owen Wilson, Josh Peck, Alex Frost",Three kids hire a low-budget bodyguard to protect them from the playground bully.,English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxNzkwOTc3OF5BMl5BanBnXkFtZTcwMTc1MzU1MQ@@._V1_SX300.jpg,41,5.7,"63,748",tt0817538,movie,N/A,"$32,862,104",N/A,N/A,True,5.7/10,26%,41/100,,,,
Shutter,2025,N/A,N/A,N/A,"Short, Horror",Jason Woodard,Jason Woodard,"Julie Woodard, Cian O'Leary, Antonella Basso",A woman finds herself in the wrong place at the wrong time when going for a walk after work.,N/A,Ireland,N/A,https://m.media-amazon.com/images/M/MV5BNzIxOTdlYzQtMmNhMi00OThkLWE5OGQtMzVlNTg2YTVjNjhjXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt35893672,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Doomsday,2015,Not Rated,19 Aug 2015,95 min,"Action, Sci-Fi",Neil Johnson,Neil Johnson,"Alain Terzoli, Amy Louise Pemberton, Darren Jacobs","Achilles, a normal man infected with a disease that will bring down the Erebus rulers (human/machine hybrids) escapes back in time from 2410 to the present day where he has a chance to stop the Erebus from ever rising to power. Ho...",English,United Kingdom,3 wins,https://m.media-amazon.com/images/M/MV5BOTUwMDkzNDcyNF5BMl5BanBnXkFtZTgwMjE1Njc0NjE@._V1_SX300.jpg,N/A,3.2,248,tt2805976,movie,N/A,N/A,N/A,N/A,True,3.2/10,,,,,,
Doomsday,1928,N/A,18 Feb 1928,60 min,"Drama, Romance",Rowland V. Lee,"Doris Anderson, Warwick Deeping, Julian Johnson","Florence Vidor, Gary Cooper, Lawrence Grant","In the English countryside, young Mary Viner has an opportunity to marry Arnold Furze, the hard-working but lonely owner of the oddly-named Doomsday Farm. He sacrifices a treasured stand of old trees to afford to bring the farm up...",None,United States,2 wins,https://m.media-amazon.com/images/M/MV5BODBmMTAxOGYtM2Y5ZS00NDEzLWExODItYWUyZTUzMDU5ZTA2XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,127,tt0018846,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,
Doomsday,1938,N/A,16 Dec 1938,7 min,"Animation, Short",Connie Rasinski,"John Foster, Tom Morrison, Al Stahl",Arthur Kay,"Gandy Goose pulls a ""Chicken Little,"" announcing that the sky is falling.",English,United States,N/A,N/A,N/A,5.6,32,tt0148083,movie,N/A,N/A,N/A,N/A,True,5.6/10,,,,,,
Doomsday,2008,R,14 Mar 2008,105 min,"Action, Sci-Fi, Thriller",Neil Marshall,Neil Marshall,"Rhona Mitra, Bob Hoskins, Alexander Siddig",A futuristic action thriller where a team of people work to prevent a disaster threatening the future of the human race.,English,"United Kingdom, Germany, South Africa, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTUwODU2NzE2OF5BMl5BanBnXkFtZTcwMTAwMDA2MQ@@._V1_SX300.jpg,51,5.9,"81,565",tt0483607,movie,N/A,"$11,008,770",N/A,N/A,True,5.9/10,50%,51/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Never Back Down,2008,PG-13,14 Mar 2008,113 min,"Action, Drama, Sport",Jeff Wadlow,Chris Hauty,"Sean Faris, Djimon Hounsou, Amber Heard","A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club, and meets a classmate who begins to coerce him into fighting.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BMTkzNDg3MTIyMF5BMl5BanBnXkFtZTcwOTAwNDc1MQ@@._V1_SX300.jpg,39,6.5,"108,578",tt1023111,movie,N/A,"$24,850,922",N/A,N/A,True,6.5/10,21%,39/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Funny Games,2007,R,04 Apr 2008,111 min,"Crime, Drama, Thriller",Michael Haneke,Michael Haneke,"Naomi Watts, Tim Roth, Michael Pitt",Two psychopathic young men take a family hostage in their cabin.,English,"United States, France, United Kingdom, Austria, Germany, Italy",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4OTExNTYzMV5BMl5BanBnXkFtZTcwOTg1MDU1MQ@@._V1_SX300.jpg,44,6.5,"108,431",tt0808279,movie,N/A,"$1,294,919",N/A,N/A,True,6.5/10,53%,44/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Married Life,2007,PG-13,28 Mar 2008,91 min,"Biography, Crime, Drama",Ira Sachs,"Ira Sachs, Oren Moverman, John Bingham","Chris Cooper, Patricia Clarkson, Rachel McAdams",A 1940s-set drama where an adulterous man plots his wife's death instead of putting her through the humiliation of a divorce.,English,"United States, Canada",2 nominations total,https://m.media-amazon.com/images/M/MV5BOTUwOTYyMzkxNF5BMl5BanBnXkFtZTcwNjQ2NTg1MQ@@._V1_SX300.jpg,65,6.2,"9,866",tt0804505,movie,N/A,"$1,507,990",N/A,N/A,True,6.2/10,56%,65/100,,,,
Paranoid Park,2007,R,24 Oct 2007,85 min,"Crime, Drama, Mystery",Gus Van Sant,"Gus Van Sant, Blake Nelson","Gabe Nevins, Daniel Liu, Taylor Momsen",A teenage skateboarder's life begins to fray after he is involved in the accidental death of a security guard.,"English, French","France, United States",7 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMTM4NjM1MTg2Nl5BMl5BanBnXkFtZTcwMjc2MDE2MQ@@._V1_SX300.jpg,84,6.6,"32,216",tt0842929,movie,N/A,"$486,767",N/A,N/A,True,6.6/10,76%,84/100,,,,
The Bank Job,2008,R,07 Mar 2008,111 min,"Crime, Thriller",Roger Donaldson,"Dick Clement, Ian La Frenais","Jason Statham, Saffron Burrows, Stephen Campbell Moore",Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.,"English, Latin","United Kingdom, United States, Australia",3 nominations total,https://m.media-amazon.com/images/M/MV5BZmQ5OTkxZDMtYTAxYS00OWE1LThhMWItYjdlYjJmNWZlNWU5XkEyXkFqcGc@._V1_SX300.jpg,69,7.2,"195,536",tt0200465,movie,N/A,"$30,060,660",N/A,N/A,True,7.2/10,79%,69/100,,,,
Girls Rock!,2007,PG,07 Mar 2008,90 min,"Documentary, Music","Arne Johnson, Shane King",N/A,N/A,A documentary about four girls who transform their lives at the Rock 'n' Roll Camp for Girls.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWQ5NGY3NDEtODVkOS00YzYzLTlhMmUtNzFiMGQzMTIzZTFlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,62,6.8,168,tt1028539,movie,N/A,"$159,294",N/A,N/A,True,6.8/10,70%,62/100,,,,
The Bank Job,2007,R,01 Apr 2007,76 min,Action,"Brad Jurjens, John Wicker",Brad Jurjens,"Johann Urb, Brad Jurjens, John Sjogren, Perry F. Caravello","One just got released from prison, the other just ""accidentally"" killed a prostitute, so what's a couple of down on their luck career criminals to do? Rob a bank and head to Brazil of ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjExNzI0NjMyNl5BMl5BanBnXkFtZTcwMzY3NDM0MQ@@._V1_SX300.jpg,N/A,2.7,327,tt0928372,movie,N/A,N/A,N/A,N/A,True,2.7/10,,,,,,
Snow Angels,2007,R,21 Mar 2008,107 min,"Crime, Drama, Romance",David Gordon Green,"David Gordon Green, Stewart O'Nan","Kate Beckinsale, Sam Rockwell, Michael Angarano","A drama that interweaves the life of a teenager, with his old baby sitter, her estranged husband, and their daughter.",English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTY2MDMwNjgzNF5BMl5BanBnXkFtZTcwNzE1OTc1MQ@@._V1_SX300.jpg,67,6.8,"13,247",tt0453548,movie,N/A,"$402,858",N/A,N/A,True,6.8/10,68%,67/100,,,,
The Other Boleyn Girl,2008,PG-13,29 Feb 2008,115 min,"Biography, Drama, History",Justin Chadwick,"Peter Morgan, Philippa Gregory","Natalie Portman, Scarlett Johansson, Eric Bana",Two sisters contend for the affection of King Henry VIII.,English,"United Kingdom, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2NTg1Mjk1Ml5BMl5BanBnXkFtZTYwODI5Njk3._V1_SX300.jpg,50,6.7,"124,552",tt0467200,movie,N/A,"$26,814,957",N/A,N/A,True,6.7/10,43%,50/100,,,,
The Other Boleyn Girl,2003,TV-PG,28 Mar 2003,90 min,"Romance, Drama",Philippa Lowthorpe,"Philippa Gregory, Philippa Lowthorpe","Natascha McElhone, Jodhi May, Jared Harris","Based on the controversial novel by Philippa Gregory, ""The Other Boleyn Girl"" is a fictionalised account of the life of Lady Mary Boleyn who becomes mistress to England's King Henry VIII, before being ousted by her younger sister,...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTIwOTc1NTI4NV5BMl5BanBnXkFtZTcwMDc5MTE2MQ@@._V1_SX300.jpg,N/A,6.1,"1,261",tt0357392,movie,N/A,N/A,N/A,N/A,True,6.1/10,,,,,,
Penelope,2021,N/A,05 Mar 2021,16 min,"Short, Horror",Jaden Bush,Jaden Bush,"Tatum Bates, Jaden Bush, Mak Ralston","After being abandoned by her boyfriend Wolfy, serial killer Penny Slice has taken to fending for herself, but if she wasn't insane enough already, the small sliver left of her sanity has certainly vanished into the abyss of her mi...",English,United States,N/A,N/A,N/A,N/A,N/A,tt14178616,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Chicago 10,2007,R,18 Jan 2007,110 min,"Documentary, Animation, History",Brett Morgen,Brett Morgen,"Jeffrey Wright, Nick Nolte, Roy Scheider","Archival footage, animation, and music are used to look back at the eight anti-war protesters who were put on trial following the 1968 Democratic National Convention.",English,United States,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTgzNjY5NDkxMF5BMl5BanBnXkFtZTcwNTE1OTc1MQ@@._V1_SX300.jpg,69,7.3,"1,452",tt0905979,movie,N/A,"$177,490",N/A,N/A,True,7.3/10,80%,69/100,,,,
Penelope,2016,N/A,27 Nov 2016,N/A,"Short, Drama, Sci-Fi",Joseph Ollman,Dave Bond,N/A,"Adele, Jude and Debbie, a gang of mischievous teenage girls from an estate in Bangor, hatch a plan to steal from a wealthy-looking woman. But have they taken on more than they bargained for...",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNzBhZjE4YzItYzVmNy00YWM3LTlkZWQtYTFlNmEyODdkMWIxXkEyXkFqcGdeQXVyNzcxMTEzMDA@._V1_SX300.jpg,N/A,N/A,N/A,tt6271420,episode,,,,,True,,,,,8,4,tt6263066
Penelope,1966,Approved,10 Nov 1966,97 min,"Comedy, Crime",Arthur Hiller,"George Wells, Howard Fast","Natalie Wood, Ian Bannen, Dick Shawn","Comedy about a flighty, bored, kleptomaniac wife of a banker who robs her husband's bank of $60,000.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODMwMTk1MjEtMDdmZC00ZTE3LThiY2MtZDUwYzIwNzNjNWMwXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,"2,217",tt0060818,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,
Penelope,2006,PG,29 Feb 2008,104 min,"Comedy, Fantasy, Romance",Mark Palansky,Leslie Caveny,"Christina Ricci, James McAvoy, Reese Witherspoon","A modern romantic tale about a young aristocratic heiress born under a curse that can only be broken when she finds true love with ""one who will accept her as one of their own.""",English,"United Kingdom, United States, Germany",N/A,https://m.media-amazon.com/images/M/MV5BZWFjODJjMWEtZjEyNS00OTRkLTk0ZmMtMmEyMjZlYTdjYTA1XkEyXkFqcGc@._V1_SX300.jpg,48,6.7,"68,029",tt0472160,movie,N/A,"$10,011,996",N/A,N/A,True,6.7/10,53%,48/100,,,,
Semi-Pro,2008,R,29 Feb 2008,91 min,"Comedy, Sport",Kent Alterman,Scot Armstrong,"Will Ferrell, Woody Harrelson, André 3000","Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTc1MjQ4NTc3M15BMl5BanBnXkFtZTcwMTc3NTg1MQ@@._V1_SX300.jpg,47,5.8,"88,532",tt0839980,movie,N/A,"$33,479,698",N/A,N/A,True,5.8/10,23%,47/100,,,,
Be Kind Rewind,2008,PG-13,22 Feb 2008,102 min,Comedy,Michel Gondry,Michel Gondry,"Jack Black, Yasiin Bey, Danny Glover","Two bumbling store clerks inadvertently erase the footage from all of the tapes in their video rental store. In order to keep the business running, they re-shoot every film in the store with their own camera, with a budget of zero...",English,"United Kingdom, France, United States",4 nominations total,https://m.media-amazon.com/images/M/MV5BMTU4MjY2MTU2MV5BMl5BanBnXkFtZTYwNjUzODc4._V1_SX300.jpg,52,6.4,"95,833",tt0799934,movie,N/A,"$11,175,164",N/A,N/A,True,6.4/10,64%,52/100,,,,
The Counterfeiters,1905,N/A,N/A,N/A,"Crime, Drama, Short",N/A,N/A,N/A,N/A,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzU1ZWRhZjctMWE1Ny00ZmY1LThmZDMtMzNjMmE1YjdhMTcxXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.8,29,tt0233487,movie,N/A,N/A,N/A,N/A,True,4.8/10,,,,,,
The Counterfeiters,1948,Approved,12 May 1949,73 min,"Action, Comedy, Crime",Sam Newfield,"Fred Myton, Barbara Worth, Maurice Conn","John Sutton, Doris Merrick, Hugh Beaumont",Scotland Yard cop goes undercover to catch a gang of counterfeiters.,"Spanish, French, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNjI0ODYwMWMtZDIxNS00ZDRkLWFiYjEtNGYzYzAyMzhmOWJmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,N/A,5.7,95,tt0040250,movie,N/A,N/A,N/A,N/A,True,5.7/10,,,,,,
Witless Protection,2008,PG-13,22 Feb 2008,97 min,"Comedy, Crime",Charles Robert Carner,"Charles Robert Carner, Alan C. Blomquist","Larry the Cable Guy, Jenny McCarthy-Wahlberg, Richard Bull","When a small-town sheriff witnesses what he believes to be an attempted kidnapping, his effort to save the beautiful damsel in distress sets him down a wild path of comic mishap.",English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BMTU2OTc5ODA1M15BMl5BanBnXkFtZTcwOTkzMzU1MQ@@._V1_SX300.jpg,17,3.4,"6,607",tt1001562,movie,N/A,"$4,161,625",N/A,N/A,True,3.4/10,4%,17/100,,,,
Vantage Point,2008,PG-13,22 Feb 2008,90 min,"Action, Drama, Thriller",Pete Travis,Barry L. Levy,"Dennis Quaid, Forest Whitaker, Matthew Fox",The attempted assassination of the American President is told and re-told from several different perspectives.,"English, Spanish","Mexico, Spain, United States",2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTI3MjI1NjMzNV5BMl5BanBnXkFtZTYwNDc4Njk3._V1_SX300.jpg,40,6.6,"155,800",tt0443274,movie,N/A,"$72,266,306",N/A,N/A,True,6.6/10,34%,40/100,,,,
Charlie Bartlett,2007,R,22 Feb 2008,97 min,"Comedy, Drama, Romance",Jon Poll,Gustin Nash,"Anton Yelchin, Robert Downey Jr., Hope Davis",A rich kid becomes the self-appointed psychiatrist to the student body of his new high school.,English,"Canada, United States",1 win total,https://m.media-amazon.com/images/M/MV5BMTUyNTgyNDI2NF5BMl5BanBnXkFtZTcwOTA2NTg1MQ@@._V1_SX300.jpg,54,6.9,"67,916",tt0423977,movie,N/A,"$3,951,699",N/A,N/A,True,6.9/10,59%,54/100,,,,
Diary of the Dead,2007,R,22 Feb 2008,95 min,"Fantasy, Horror, Sci-Fi",George A. Romero,George A. Romero,"Michelle Morgan, Joshua Close, Shawn Roberts",A group of young film students run into real-life zombies while filming a horror movie of their own.,English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNDg5MjAxMjA2Nl5BMl5BanBnXkFtZTcwMjE1OTc1MQ@@._V1_SX300.jpg,66,5.5,"50,295",tt0848557,movie,N/A,"$958,961",N/A,N/A,True,5.5/10,62%,66/100,,,,
Diary of the Dead,1976,PG,N/A,93 min,"Drama, Thriller",Arvin Brown,"Ruth Rendell, Robert L. Fish, I.C. Rapoport","Hector Elizondo, Edward Binns, Joyce Ebert","An unemployed man who lives with his wife and overbearing mother-in-law sees an opportunity to relieve himself of the old bat, which tangles him in a maze of deception.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTNmNTkxZGItMzFjMC00MTgwLTgwNGEtY2E3NzcwYmRlOTU1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,N/A,6.5,108,tt0080626,movie,N/A,N/A,N/A,N/A,True,6.5/10,,,,,,
Jumper,2008,PG-13,14 Feb 2008,88 min,"Action, Adventure, Sci-Fi",Doug Liman,"David S. Goyer, Jim Uhls, Simon Kinberg","Hayden Christensen, Samuel L. Jackson, Jamie Bell",A young man with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,"English, Italian, Japanese, Mandarin","Canada, United States",2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMWQ3NjA3NTYtNDJiYi00ZTE0LWFmNzMtZjc0NTUxNjk2YTFkXkEyXkFqcGc@._V1_SX300.jpg,35,6.1,"334,661",tt0489099,movie,N/A,"$80,172,128",N/A,N/A,True,6.1/10,15%,35/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Jumper,2020,N/A,06 Oct 2020,4 min,"Short, Drama, Thriller",Isaac Carlton,"Isaac Carlton, Levi Hintermeister","Madison Reimer, Randy Swanson","After a strange encounter in an elevator, a businesswoman is convinced she is being followed.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmU2ZmVkMDEtZWRmMy00YmI3LWEwNGItZWJiNTlhMTdlMzBjXkEyXkFqcGdeQXVyMzg2Njg0NTM@._V1_SX300.jpg,N/A,N/A,N/A,tt13093986,movie,N/A,N/A,N/A,N/A,True,,,,,,,
The Spiderwick Chronicles,2008,PG,14 Feb 2008,96 min,"Action, Adventure, Drama",Mark Waters,"Karey Kirkpatrick, David Berenbaum, John Sayles","Freddie Highmore, Sarah Bolger, David Strathairn","Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",English,United States,2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOWRiMmUzZTctYWUxNy00ZjkyLWE4NTctMzFlMTFkYmI5NmFkXkEyXkFqcGc@._V1_SX300.jpg,62,6.5,"107,516",tt0416236,movie,N/A,"$71,195,053",N/A,N/A,True,6.5/10,81%,62/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
"Welcome Home, Roscoe Jenkins",2008,PG-13,08 Feb 2008,114 min,"Comedy, Romance",Malcolm D. Lee,Malcolm D. Lee,"Martin Lawrence, Louis C.K., James Earl Jones","Dr. R.J. Stevens is a talk-show host who visits his family in the Deep South. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde, and his childhood love interest Lucinda Allen.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjIwODgyMDk5OF5BMl5BanBnXkFtZTYwMzQ5Nzc4._V1_SX300.jpg,46,5.5,"16,394",tt0494652,movie,N/A,"$42,436,517",N/A,N/A,True,5.5/10,23%,46/100,,,,
Fool's Gold,2005,N/A,N/A,90 min,Comedy,James Franco,"James Franco, Merriwether Williams","James Franco, Vince Jolivette, Stacey Miller","""Finn"" Finnegan is a treasure hunter searching for a sunken Spanish galleon, the Aurelia, that was lost at sea with the 1715 Treasure Fleet. During his search to find the galleon and its treasure, his wife Tess divorces him.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGY1NWE0NjMtODViNy00MTBhLWI5NjgtMzY3M2E3YWMyODI4XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,N/A,6.2,234,tt0415806,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,
Fool's Gold,1946,Passed,09 Oct 1946,63 min,"Drama, Western",George Archainbaud,"Doris Schroeder, Clarence E. Mulford","William Boyd, Andy Clyde, Rand Brooks",The son of an Army friend is about the join an outlaw gang. Hoppy prevents this and brings the gang to justice.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTIxMmM3NDItYjdkMi00MWNkLWE4YWQtYzZiNzRjNjZmZmFiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,N/A,6.1,142,tt0038532,movie,N/A,N/A,N/A,N/A,True,6.1/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
