Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Error,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
All the Money in the World,1983,N/A,19 Mar 1983,60 min,"Animation, Adventure, Comedy",Marc Daniels,"Rod Baker (teleplay), Bill Brittain (novel), Glen Olson (teleplay)","Robert Carnegie, Kim Hamilton, Nyles Harris, Mabel King","A young boy gets a wish from a leprechaun, and wishes for all the money in the world. He then learns about the real-life ramifications of such a wish.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BM2Y5NTcyODQtNTZkNS00MjBmLWFiNzYtMjJhODczMTNlM2ExXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,N/A,5.5,13,tt0344810,episode,,,,,True,5.5/10,,,,6,4,tt0075471,
Father Figures,2023,N/A,06 Jul 2023,N/A,"Short, Drama",Alessandro Chillé,Alessandro Chillé,"Alessandro Chillé, Matthew Delamater, Tim Hackney",N/A,English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNjAwMjUxZDEtZDUxZC00NjhmLWE3NDctNDliOGIwZjY5Zjg2XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt17500492,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Hostiles,2017,R,26 Jan 2018,134 min,"Drama, Western",Scott Cooper,"Scott Cooper, Donald E. Stewart","Scott Shepherd, Rosamund Pike, Ava Cooper","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.","English, Cheyenne, French",United States,4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMWZlMGYzM2UtMjc2Zi00ODFkLWE0MGItNjc3ZTM0OTMwM2EwXkEyXkFqcGc@._V1_SX300.jpg,65,7.2,"102,468",tt5478478,movie,N/A,"$29,819,114",N/A,N/A,True,7.2/10,,71%,65/100,,,,
Hostiles,2015,Not Rated,N/A,74 min,"Drama, Thriller",Robin Plessy,"Marc Brunet, Robin Plessy","Hugo Bariller, Marie Coulangeon, Yoann Denaive",Voyeurism and sadomasochism intertwine when a man haunted by his dark past pushes his current lover to the edge of destruction.,French,France,N/A,https://m.media-amazon.com/images/M/MV5BMTU5ODU1MjY5Nl5BMl5BanBnXkFtZTgwMzU4OTMzNjE@._V1_SX300.jpg,N/A,6.5,32,tt4243168,movie,N/A,N/A,N/A,N/A,True,6.5/10,,,,,,,
Father Figures,2017,R,22 Dec 2017,113 min,"Comedy, Drama",Lawrence Sher,Justin Malen,"Owen Wilson, Ed Helms, Glenn Close","Upon learning that their mother has been lying to them for years about their allegedly deceased father, fraternal twin brothers hit the road to search for him.","English, Hawaiian",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMjA3MDQ4MDI1M15BMl5BanBnXkFtZTgwMDYxMjcxNDM@._V1_SX300.jpg,22,5.5,"23,119",tt1966359,movie,N/A,"$17,501,244",N/A,N/A,True,5.5/10,,17%,22/100,,,,
Father Figures,2013,N/A,11 May 2013,58 min,Documentary,"April Butler, Gillian Hrankowski",N/A,April Butler,Follows a Canadian filmmaker through Asia as she examines her father's relationship with his 23 year old bride-to-be who lives in the Philippines.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BOGY4M2IxMzEtMDViMy00ZDA2LWE4MDktZWExYzljNWVhMTMzXkEyXkFqcGdeQXVyODIyMzY1NDg@._V1_SX300.jpg,N/A,6.8,118,tt2925960,movie,N/A,N/A,N/A,N/A,True,6.8/10,,,,,,,
The Post,2017,PG-13,12 Jan 2018,116 min,"Biography, Drama, History",Steven Spielberg,"Liz Hannah, Josh Singer","Meryl Streep, Tom Hanks, Sarah Paulson",A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,English,"United States, India",Nominated for 2 Oscars. 21 wins & 116 nominations total,https://m.media-amazon.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_SX300.jpg,83,7.2,"168,588",tt6294822,movie,N/A,"$81,903,458",N/A,N/A,True,7.2/10,,88%,83/100,,,,
The Post,2010,N/A,N/A,7 min,"Short, Fantasy",Emmanuel Sapolsky,Emmanuel Sapolsky,Xin Wang,"How would life be if all comments on Facebook (aka ""posts"") materialized in sticky notes (aka ""post-it"") invading our lives. An eye-opening film to the threat to privacy Facebook can be.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmI0NTE3MGYtZjFkOS00YWU4LThiYjktZjNmZjI5OWNkYjA2XkEyXkFqcGdeQXVyMjg4MjI1ODU@._V1_SX300.jpg,N/A,N/A,21,tt1764680,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Downsizing,2017,R,22 Dec 2017,135 min,"Drama, Fantasy, Sci-Fi",Alexander Payne,"Alexander Payne, Jim Taylor","Matt Damon, Christoph Waltz, Hong Chau","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.","English, Spanish, Norwegian, French, Korean, Greek, Vietnamese","United States, Norway",1 win & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNDYxNDQ5OTYxOV5BMl5BanBnXkFtZTgwOTcyODkxNDM@._V1_SX300.jpg,64,5.8,"134,931",tt1389072,movie,N/A,"$24,449,754",N/A,N/A,True,5.8/10,,47%,64/100,,,,
Pitch Perfect 3,2017,PG-13,22 Dec 2017,93 min,"Comedy, Music",Trish Sie,"Kay Cannon, Mike White, Mickey Rapkin","Anna Kendrick, Rebel Wilson, Brittany Snow","Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.","English, Papiamento","United States, China",4 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTU5NDI1MjkwMF5BMl5BanBnXkFtZTgwNjIxNTY2MzI@._V1_SX300.jpg,40,5.8,"76,229",tt4765284,movie,N/A,"$104,897,530",N/A,N/A,True,5.8/10,,29%,40/100,,,,
The Greatest Showman,2017,PG,20 Dec 2017,105 min,"Biography, Drama, Musical",Michael Gracey,"Jenny Bicks, Bill Condon","Hugh Jackman, Michelle Williams, Zac Efron",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,English,"United States, China",Nominated for 1 Oscar. 17 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMjI1NDYzNzY2Ml5BMl5BanBnXkFtZTgwODQwODczNTM@._V1_SX300.jpg,48,7.5,"336,527",tt1485796,movie,N/A,"$174,340,174",N/A,N/A,True,7.5/10,,56%,48/100,,,,
The Ballad of Lefty Brown,2017,R,15 Dec 2017,111 min,"Action, Drama, Western",Jared Moshe,Jared Moshe,"Bill Pullman, Peter Fonda, Stephen Alan Seder","A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTk0Nzg0NzU0Ml5BMl5BanBnXkFtZTgwOTkwMjY5MzI@._V1_SX300.jpg,64,6.3,"8,468",tt4400994,movie,N/A,"$7,856",N/A,N/A,True,6.3/10,,79%,64/100,,,,
Ferdinand,2017,PG,15 Dec 2017,108 min,"Animation, Adventure, Comedy",Carlos Saldanha,"Robert L. Baird, Tim Federle, Brad Copeland","John Cena, Kate McKinnon, Bobby Cannavale","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.","English, Spanish, German","United States, United Kingdom, Canada",Nominated for 1 Oscar. 2 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMjI4Mjk0NzQwOF5BMl5BanBnXkFtZTgwNjg3MjI2MjI@._V1_SX300.jpg,58,6.7,"68,792",tt3411444,movie,N/A,"$84,410,380",N/A,N/A,True,6.7/10,,70%,58/100,,,,
Just Getting Started,2017,PG-13,08 Dec 2017,91 min,"Comedy, Crime",Ron Shelton,Ron Shelton,"Morgan Freeman, Tommy Lee Jones, Rene Russo",An ex-F.B.I. Agent (Tommy Lee Jones) and an ex-mob lawyer in the Witness Protection Program (Morgan Freeman) have to put aside their petty rivalry on the golf course to fend off a mob hit.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWU5ZWYyYTgtODIxYy00NDlhLWFmODMtZjVjM2Q5ZDY4ZjFiXkEyXkFqcGc@._V1_SX300.jpg,21,4.6,"8,766",tt5721088,movie,N/A,"$6,069,605",N/A,N/A,True,4.6/10,,5%,21/100,,,,
Gold,2016,R,27 Jan 2017,120 min,"Biography, Crime, Drama",Stephen Gaghan,"Patrick Massett, John Zinman","Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard","Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.","English, Indonesian",United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNzI1NjI5OTUyM15BMl5BanBnXkFtZTgwOTM4NzY2MDI@._V1_SX300.jpg,49,6.7,"72,435",tt1800302,movie,N/A,"$7,227,038",N/A,N/A,True,6.7/10,,41%,49/100,,,,
Gold,2014,Not Rated,10 Oct 2014,88 min,"Comedy, Drama, Family",Niall Heery,"Brendan Heery, Niall Heery","James Nesbitt, Maisie Williams, David Wilmot",An offbeat comedy about an estranged father who returns to his hometown after an absence of ten years in order to reconnect with his daughter and ex-wife but unwittingly finds himself responsible for almost destroying all their li...,English,Ireland,3 nominations,https://m.media-amazon.com/images/M/MV5BMTEyOTI5MTMyODJeQTJeQWpwZ15BbWU4MDg3MDE5MjEx._V1_SX300.jpg,N/A,6.1,"1,378",tt3134422,movie,N/A,N/A,N/A,N/A,True,6.1/10,,67%,,,,,
Gold,1972,Not Rated,N/A,89 min,Comedy,"Bill Desloge, Bob Levis",N/A,"Del Close, Garry Goodrow, Dan Hicks","Uptight killjoy square cop Captain Harold Jinks doesn't approve of the local hippies in an Old West-style rural community romping about naked, so he zealously enforces various strict laws to ban public nudity. It's up to loopy lon...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTY0NDI4MTY1N15BMl5BanBnXkFtZTcwMjMwMTkxMw@@._V1_SX300.jpg,N/A,4.9,23,tt1101646,movie,N/A,N/A,N/A,N/A,True,4.9/10,,,,,,,
Gold,1974,PG,16 Oct 1974,124 min,"Adventure, Drama, Romance",Peter R. Hunt,"Wilbur Smith, Stanley Price","Roger Moore, Susannah York, Ray Milland",A South African gold mine foreman is unwittingly manipulated by an unscrupulous gang of financiers who want to flood the mine to raise the price of gold on the world market.,English,United Kingdom,Nominated for 1 Oscar. 2 nominations total,https://m.media-amazon.com/images/M/MV5BZGZiNDcwZTEtMGEyZS00ZjUyLWFiODktOTgzZDRkYzEyZjIxXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.7,"2,722",tt0071566,movie,N/A,N/A,N/A,N/A,True,5.7/10,,,,,,,
Gold,2022,R,18 Mar 2022,97 min,"Action, Adventure, Thriller",Anthony Hayes,"Anthony Hayes, Polly Smyth","Zac Efron, Akuol Ngot, Thiik Biar","In the not too distant future, a drifter travelling through the desert discovers the largest gold nugget ever found. He must guard it from thieves amid harsh conditions and wild dogs while waiting for his partner to return.","Irish Gaelic, English","Australia, United Kingdom",8 nominations total,https://m.media-amazon.com/images/M/MV5BOTAwYWJhYmQtMTNjMC00YmRlLWJjYjEtMTMyNDk4ODhmYzNkXkEyXkFqcGc@._V1_SX300.jpg,48,5.4,"13,206",tt6020800,movie,N/A,"$100,197",N/A,N/A,True,5.4/10,,65%,48/100,,,,
Gold,2005,N/A,03 Jun 2005,16 min,"Short, Drama, Romance",Armen Kazazian,Armen Kazazian,"Aron Tager, PJ Lazic, Garnet Harding","An aging artist losing his vision employs a street hustler to paint for him. Both are desperate, but how far will each go to satisfy his grave needs? This probing film questions where exploitation ends and redemption begins.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BNGE5MTRiZDUtNDU4Ny00Y2RjLTlkYzItZTNiOTJlNTQ0YmFiXkEyXkFqcGdeQXVyMjI0Mjk2MDg@._V1_SX300.jpg,N/A,5.6,193,tt0462891,movie,N/A,N/A,N/A,N/A,True,5.6/10,,,,,,,
Gold,1932,Passed,05 Oct 1932,58 min,"Drama, Western",Otto Brower,Jack Natteford,"Jack Hoxie, Alice Day, Hooper Atchley",A cowboy turned gold miner fights a gang that buys miner's claims and then murders them.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzc3M2IzZGUtMDE5OC00MzcyLThiYjMtMTAzZDVkYmJjMjI5XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.5,64,tt0022951,movie,N/A,N/A,N/A,N/A,True,5.5/10,,,,,,,
Thrill Ride,2016,PG,17 Aug 2016,86 min,"Adventure, Comedy, Fantasy",Chris Parrish,"Chris Parrish, Mason Parrish","Kristen Johnston, Lucas Jade Zumann, Helen Sadler","Three kids sneak into a theme park where the attractions magically come alive. With help from a sea witch, the kids must battle an evil mermaid, pirates, a dragon and an armada of monsters. Stars Kristen Johnston and Lucas Jade Zu...",N/A,N/A,2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZDVjNmNmM2QtOWMyYy00MjJhLWI4M2YtOGJiYmZiODhjOWM3XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.4,170,tt4048698,movie,N/A,N/A,N/A,N/A,True,5.4/10,,,,,,,
The Disaster Artist,2017,R,08 Dec 2017,104 min,"Biography, Comedy, Drama",James Franco,"Scott Neustadter, Michael H. Weber, Greg Sestero","Dave Franco, James Franco, Seth Rogen","When aspiring actor Greg Sestero meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",English,United States,Nominated for 1 Oscar. 32 wins & 84 nominations total,https://m.media-amazon.com/images/M/MV5BMmZlMjUxZDktNGNjYS00NmI2LWFhYTAtOGY2MjQwNTM1M2U4XkEyXkFqcGc@._V1_SX300.jpg,76,7.3,"170,044",tt3521126,movie,N/A,"$21,120,616",N/A,N/A,True,7.3/10,,90%,76/100,,,,
Gold,2020,N/A,12 Dec 2020,24 min,"Short, Comedy, Drama",Luca Pizzoleo,Luca Pizzoleo,"Raz Fritz, Lucio Nieto, Jamie Shelnitz","""Gold"" follows a young actor named Dean Douglas Cooper, who moves to Los Angeles to pursue his dreams of making it big. When things don't work out, Dean finds himself in an unusual situation: dressed in a gold suit and busking on ...",English,United States,10 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMDI4NDZjNGQtNDdjMi00MDAyLTg0ZTYtZjI1NGU1MmYxYTM0XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,18,tt11355250,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Badsville,2001,N/A,N/A,N/A,N/A,P.J. Wolff,P.J. Wolff,"Rick Ballard, Danny Carey, Patrick Dean, Taime Downe",N/A,English,"USA, Canada",N/A,N/A,N/A,N/A,N/A,tt0388750,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Badsville,2017,N/A,07 Apr 2021,99 min,"Action, Drama, Romance",April Mullen,"Benjamin Barrett, Ian McLaren","Ian McLaren, Benjamin Barrett, Tamara Duarte",A violent greaser gang is ripped apart when their leader finds love and is determined to leave Badsville - a town where love doesn't exist.,English,"United States, Canada",9 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BYmM5MGZlMTItN2ViYS00NmQ2LWI2Y2QtNGY0NzMzZmQyMGIxXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.3,206,tt4843618,movie,N/A,"$4,153",N/A,N/A,True,5.3/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Gold,2019,N/A,01 Sep 2019,4 min,"Short, Horror, Thriller",Gi Sebastienne Giyan Gonzales,Gi Sebastienne Giyan Gonzales,"Dhante Bunbury, Jenna Choi, Jamil Garland",Five high school kids are approached by a stranger from their school to play a twisted game of odds.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BM2ZiZmNmZjAtNWNjZS00NWQzLTk5NjgtMjYwMThjYWZjMWFiXkEyXkFqcGdeQXVyMTA2MzEyNDg0._V1_SX300.jpg,N/A,N/A,N/A,tt11416100,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Gold,2022,N/A,N/A,27 min,Short,Charles Francis Solomon,Emmanuel Mang Eme,"Uche Elumelu, Udoka Njoku, Eric Obinna","The joy of a family seeing the Super Eagles of Nigeria win ""Gold"" against big teams in Atlanta '96 Olympics despite the odds stacked against them would seem like the long-awaited hope that the country needs.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzJkNTk4NTAtMGY3Zi00ZDNkLWE2ZjAtYmI2MGY2NzYwNWZiXkEyXkFqcGdeQXVyMTUzMDQyMTA4._V1_SX300.jpg,N/A,N/A,N/A,tt20416000,movie,N/A,N/A,N/A,N/A,True,,,65%,,,,,
Gold,1989,N/A,22 Aug 1989,45 min,Documentary,Caroline Maynard,N/A,"David Jessel, Kate Adie, Brian Boyce",N/A,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNjUyY2NjMzEtOTBmMS00NGViLTg4MzctMGFjMzBlYTQ5ZmFiXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt34378587,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Call Me by Your Name,2017,R,19 Jan 2018,132 min,"Drama, Romance",Luca Guadagnino,"James Ivory, André Aciman","Timothée Chalamet, Armie Hammer, Michael Stuhlbarg","In the summer of 1983, 17-year-old Elio is spending the days with his family at their villa in Lombardy, Italy. He soon meets 24-year-old Oliver, an intern working for Elio's father. They discover the heady beauty of awakening des...","English, Italian, French, German, Hebrew","Brazil, France, Italy, United States",Won 1 Oscar. 107 wins & 263 nominations total,https://m.media-amazon.com/images/M/MV5BNDk3NTEwNjc0MV5BMl5BanBnXkFtZTgwNzYxNTMwMzI@._V1_SX300.jpg,94,7.8,"347,929",tt5726616,movie,N/A,"$18,095,701",N/A,N/A,True,7.8/10,,95%,94/100,,,,
The Star,1952,Approved,11 Dec 1952,89 min,"Drama, Romance",Stuart Heisler,"Dale Eunson, Katherine Albert","Bette Davis, Sterling Hayden, Natalie Wood","A washed-up movie queen finds romance, but still desires a comeback.",English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BM2E2N2ZhYmEtNzgxYi00OGNmLWIyMzAtMTEyZThkYmUxNjQzXkEyXkFqcGc@._V1_SX300.jpg,54,7.0,"4,219",tt0045186,movie,N/A,N/A,N/A,N/A,True,7.0/10,,25%,54/100,,,,
Wonder,2017,PG,17 Nov 2017,113 min,"Drama, Family",Stephen Chbosky,"Stephen Chbosky, Steve Conrad, Jack Thorne","Jacob Tremblay, Owen Wilson, Izabela Vidovic","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the...",English,"United States, Hong Kong, Canada",Nominated for 1 Oscar. 5 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BYmFkYTlhNWUtMzliMS00ODIyLThlMmUtOGQ0N2RmOTg4YjJiXkEyXkFqcGc@._V1_SX300.jpg,66,7.9,"192,483",tt2543472,movie,N/A,"$132,422,809",N/A,N/A,True,7.9/10,,86%,66/100,,,,
Justice League,2017,PG-13,17 Nov 2017,120 min,"Action, Adventure, Fantasy",Zack Snyder,"Jerry Siegel, Joe Shuster, Chris Terrio","Ben Affleck, Gal Gadot, Jason Momoa","Steppenwolf and his Parademons return after eons to capture Earth. However, Batman seeks the help of Wonder Woman to recruit and assemble Flash, Cyborg and Aquaman to fight the powerful new enemy.","English, Irish Gaelic, Russian, Icelandic","United States, Canada, United Kingdom",2 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMjM5YmQxM2YtZjI2Yy00YjhhLTg5N2MtMTEyMzdlZDU3OTVhXkEyXkFqcGc@._V1_SX300.jpg,45,6.0,"497,511",tt0974015,movie,N/A,"$229,024,295",N/A,N/A,True,6.0/10,,39%,45/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
The Breadwinner,2017,PG-13,17 Nov 2017,94 min,"Animation, Drama, War",Nora Twomey,"Anita Doron, Deborah Ellis","Saara Chaudry, Soma Chhaya, Noorin Gulamgaus","In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.",English,"Ireland, Canada, Luxembourg, United States, France",Nominated for 1 Oscar. 24 wins & 55 nominations total,https://m.media-amazon.com/images/M/MV5BYzlhMTkzYTYtOTBiZC00NzE4LWJlM2MtMmEwMWIxNTg3YjRkXkEyXkFqcGc@._V1_SX300.jpg,78,7.7,"29,866",tt3901826,movie,N/A,"$313,215",N/A,N/A,True,7.7/10,,95%,78/100,,,,
The Star,2012,N/A,10 Aug 2012,15 min,"Short, Drama",Nikola Todorovic,Dom Huynh,"T'Lane Balue, Evan Rhoda, Holly Lynn Yarmosh",A young man tries to reconnect with the girl he once loved after discovering she has given up on her acting career and entered the adult entertainment industry.,English,United States,1 nomination,N/A,N/A,N/A,N/A,tt2338404,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
The Star,2017,PG,17 Nov 2017,86 min,"Animation, Adventure, Comedy",Timothy Reckart,"Carlos Kotkin, Simon Moore","Steven Yeun, Keegan-Michael Key, Aidy Bryant",A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.,English,United States,2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTU4MDQ4NTM2N15BMl5BanBnXkFtZTgwNDM1NTIzMzI@._V1_SX300.jpg,42,6.3,"10,328",tt4587656,movie,N/A,"$40,896,334",N/A,N/A,True,6.3/10,,45%,42/100,,,,
Wonder,2019,TV-MA,20 Jul 2019,16 min,"Short, Drama, Family",Javier Molina,Gabriel Furman,"Benji Siegel, Nico Bustamante, Farrah Faucette",An 11-year-old kid growing up in the hood secretly dreams of trick-or-treating as a female super hero for Halloween.,English,United States,14 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMDA4ZDM4ODAtY2RmMC00OTY3LWJmNzUtY2M5NWIwZWEyNWIyXkEyXkFqcGdeQXVyMTU1NTE5NTA@._V1_SX300.jpg,N/A,7.8,100,tt9129922,movie,N/A,N/A,N/A,N/A,True,7.8/10,,,,,,,
The Star,1998,N/A,N/A,N/A,Short,David Moore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tt0259596,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
No Greater Love,2010,PG,14 May 2010,109 min,"Drama, Romance",Brad J. Silverman,"Brad J. Silverman, James Killian, Elizabeth Killian","Anthony Tyler Quinn, Danielle Bisutti, Jay Underwood","Jeff and Heather Baker were life long sweethearts and happily married... for a time. But at her greatest moment of weakness, Heather abandons Jeff, forcing Jeff to raise their young son alone. Ten years later, through a God ordain...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU3MjI4ODA0Ml5BMl5BanBnXkFtZTcwODAwNTcxMw@@._V1_SX300.jpg,N/A,5.9,513,tt1225703,movie,N/A,N/A,N/A,N/A,True,5.9/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Murder on the Orient Express,2017,PG-13,10 Nov 2017,114 min,"Comedy, Crime, Drama",Kenneth Branagh,"Michael Green, Agatha Christie","Paapa Essiedu, Yassine Zeroual, Asan N'Jie","When a murder occurs aboard the train on which he's travelling, celebrated Belgian detective Hercule Poirot is recruited to solve the case.","English, French, Turkish, German, Arabic","United States, United Kingdom, Malta",2 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BNTlkYjBlZTctZjg2YS00NDMzLTlkMTMtNWExMGYyOTliMmEzXkEyXkFqcGc@._V1_SX300.jpg,52,6.5,"316,177",tt3402236,movie,N/A,"$102,826,543",N/A,N/A,True,6.5/10,,60%,52/100,,,,
Murder on the Orient Express,2001,N/A,22 Apr 2001,100 min,"Crime, Drama, Mystery",Carl Schenkel,"Agatha Christie, Stephen Harrigan","Alfred Molina, Meredith Baxter, Leslie Caron","Hercule Poirot, now in modern times, investigates the famous crime on the famed train with a modern twist.","French, Turkish, German, Serbo-Croatian, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYzQ3Y2VlNzItZjU5OS00Mzg2LWE0N2UtMTA2ZTM2ZGYzNjVlXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.1,"1,193",tt0279250,movie,N/A,N/A,N/A,N/A,True,5.1/10,,,,,,,
No Greater Love,1960,N/A,N/A,30 min,"Short, Drama",Jan Sadlo,Donald Johnson,"Richard Denning, Evelyn Ankers, Art Linkletter",A dentist and his wife join Christian missionaries for duty in Africa.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGVhMjhlNjYtZWM0My00NGQyLWEyMDUtZWQxNDg3ZTZhYjg0XkEyXkFqcGdeQXVyODUyMTkwOTg@._V1_SX300.jpg,N/A,N/A,N/A,tt0141662,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Thelma,2024,PG-13,21 Jun 2024,98 min,"Action, Comedy",Josh Margolin,Josh Margolin,"June Squibb, Fred Hechinger, Parker Posey","When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",English,"United States, Switzerland",11 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BNmE4OTc5ODAtMmEyOC00NTY5LWE5MGEtMDhkZjhiNzNhY2VjXkEyXkFqcGc@._V1_SX300.jpg,77,7.0,"26,351",tt23778968,movie,N/A,"$9,002,073",N/A,N/A,True,7.0/10,,98%,77/100,,,,
Murder on the Orient Express,1974,PG,24 Nov 1974,128 min,"Crime, Drama, Mystery",Sidney Lumet,"Agatha Christie, Paul Dehn, Anthony Shaffer","Albert Finney, Lauren Bacall, Martin Balsam","Returning home from Istanbul on the Orient Express, renowned Belgian detective Hercule Poirot is called upon to solve the murder of an American businessman aboard the train. The suspects are numerous and the clues confusing.","English, French, German, Turkish, Italian, Swedish, Hungarian",United Kingdom,Won 1 Oscar. 10 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BNzZmZWMwOWUtM2NkZS00MWM0LTk1YzMtYzI4OGYyMTNlNTMwXkEyXkFqcGc@._V1_SX300.jpg,62,7.2,"73,264",tt0071877,movie,N/A,"$27,634,716",N/A,N/A,True,7.2/10,,89%,62/100,,,,
No Greater Love,1995,TV-PG,01 Jan 1996,105 min,"Drama, Romance",Richard T. Heffron,"Carmen Culver, Danielle Steel","Kelly Rutherford, Chris Sarandon, Nicholas Campbell",A woman (Kelly Rutherford) who loses her fiance and her parents in the Titanic disaster neglects her own needs to care for her brothers and sister.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTE3OTIwNTA0MF5BMl5BanBnXkFtZTcwNTk5ODQyMQ@@._V1_SX300.jpg,N/A,5.8,504,tt0117190,movie,N/A,N/A,N/A,N/A,True,5.8/10,,,,,,,
